Date,Store_id,Product_id,Units_sold,Sales Amount,Discount Applied,Customer Segment
,S001,P007,51.0,1286.08,8.77,New
,S003,P001,74.0,1206.75,15.58,Premium
2024-05-11,S003,P008,81.0,909.88,16.05,Regular
2024-05-11,S006,P005,22.0,577.18,9.614999999999998,Premium
2024-05-11,S004,P001,64.0,1278.68,5.97,New
,S005,P003,51.0,938.15,8.23,New
,S001,P001,51.0,1327.67,6.33,New
2024-12-11,S002,P008,83.0,1400.37,9.614999999999998,New
,S003,P004,47.0,411.34,9.614999999999998,Premium
2024-08-11,S001,P006,58.0,236.43,12.98,New
2024-03-11,S001,P002,61.0,519.42,17.03,New
,S005,P008,55.0,909.97,13.36,Premium
,S005,P002,80.0,813.67,11.56,Regular
2024-12-11,S002,P003,79.0,1115.2,19.16,New
,S003,P007,82.0,1017.93,1.62,New
,S003,P001,51.0,387.3,9.614999999999998,Premium
,S001,P006,51.0,1187.94,19.98,New
,S002,P006,28.0,902.91,14.45,Premium
,S002,P002,59.0,813.67,17.81,Regular
,S003,P004,51.0,917.88,3.24,Premium
2024-04-11,S006,P006,91.0,1225.52,19.11,New
2024-08-11,S002,P006,62.0,813.67,9.614999999999998,New
,S003,P002,70.0,573.83,18.58,Premium
,S002,P001,25.0,909.59,17.41,New
,S004,P006,76.0,813.67,5.18,Regular
,S001,P001,51.0,813.67,10.27,New
2024-08-11,S005,P008,92.0,133.13,1.55,Regular
,S002,P008,11.0,261.66,13.44,Regular
,S003,P002,44.0,898.5,8.05,Premium
,S003,P004,36.0,1052.26,18.6,New
2024-03-11,S005,P002,82.0,258.77,8.3,Regular
,S002,P008,90.0,235.73,19.11,New
,S002,P006,51.0,734.89,10.52,Regular
,S001,P007,28.0,915.49,2.28,Premium
,S003,P002,30.0,855.53,6.26,New
,S003,P001,51.0,734.96,7.41,Premium
2024-10-11,S002,P006,20.0,813.67,11.44,Premium
,S005,P002,80.0,676.01,0.39,Premium
2024-10-11,S006,P008,48.0,714.85,11.96,Premium
,S004,P003,84.0,1415.3,11.78,Regular
2024-06-11,S002,P008,55.0,1083.12,7.35,Regular
,S004,P005,49.0,1026.98,0.99,Regular
,S006,P004,51.0,1299.13,8.29,New
,S002,P002,75.0,1390.71,6.52,New
,S004,P001,53.0,515.29,5.08,New
,S006,P002,89.0,998.33,11.06,Regular
,S003,P002,4.0,305.17,19.47,Regular
,S003,P003,42.0,1418.61,17.01,Regular
,S004,P005,65.0,1003.36,12.12,Premium
2024-11-11,S001,P006,63.0,102.29,3.11,New
,S002,P006,85.0,813.67,13.8,Premium
2024-02-11,S002,P001,51.0,859.35,7.74,Premium
,S006,P002,55.0,813.67,0.18,New
,S001,P002,51.0,1398.07,8.01,New
,S004,P008,72.0,632.22,6.43,Premium
,S002,P003,85.0,1255.91,10.6,New
2024-12-11,S002,P004,35.0,1466.35,11.63,Premium
2024-11-11,S003,P006,51.0,1397.66,8.68,New
2024-04-11,S001,P004,8.0,638.93,2.78,Premium
2024-07-11,S002,P008,1.0,1003.85,14.24,New
,S002,P004,38.0,1401.93,2.74,Regular
,S006,P005,84.0,1107.91,11.06,New
,S004,P006,19.0,979.73,12.58,Regular
,S001,P005,98.0,1063.61,5.34,Regular
,S002,P003,19.0,217.62,18.73,Premium
2024-04-11,S003,P002,67.0,1389.59,9.614999999999998,Regular
,S002,P006,19.0,328.41,6.69,New
,S003,P004,59.0,1238.7,8.4,New
,S005,P008,37.0,436.75,14.75,Regular
,S005,P007,55.0,1106.84,13.21,New
,S001,P007,62.0,1430.4,9.7,Regular
2024-05-11,S002,P002,42.0,813.67,6.35,New
,S001,P005,25.0,1193.15,17.64,Premium
2024-11-11,S002,P002,59.0,1204.12,8.13,Premium
,S002,P002,51.0,904.88,7.89,Regular
,S002,P001,38.0,559.47,9.07,Premium
,S004,P002,38.0,813.67,9.614999999999998,Regular
2024-07-11,S005,P002,51.0,1167.57,12.09,Regular
2024-12-11,S002,P004,60.0,982.25,5.32,Premium
,S002,P001,22.0,1100.19,17.33,New
,S005,P006,48.0,1219.58,17.03,New
,S003,P008,9.0,1251.9,18.03,New
,S001,P008,5.0,569.09,19.48,Regular
,S002,P008,13.0,547.97,2.94,New
,S004,P007,65.0,1370.01,9.65,New
,S003,P002,12.0,627.28,12.59,Premium
,S006,P006,25.0,767.8,19.08,New
2024-02-11,S005,P008,26.0,734.5,17.89,Regular
,S005,P005,36.0,246.25,18.55,Regular
2024-11-11,S003,P001,44.0,1160.64,9.53,New
,S002,P006,26.0,1086.47,8.41,New
,S004,P007,99.0,1324.92,10.07,Premium
,S001,P006,83.0,564.25,1.92,New
,S004,P002,24.0,1025.59,10.9,New
2024-07-11,S004,P005,10.0,196.87,12.15,New
,S006,P004,36.0,662.69,3.98,Regular
,S002,P008,75.0,226.17,11.95,New
2024-08-11,S006,P004,93.0,979.46,5.76,New
,S002,P002,1.0,1456.08,14.63,New
,S002,P006,31.0,1442.4,8.02,Regular
,S002,P003,82.0,919.26,8.56,New
2024-11-11,S004,P002,100.0,413.93,14.56,Premium
2024-08-11,S003,P007,76.0,843.57,6.69,Regular
,S004,P003,1.0,813.67,16.38,Premium
,S001,P005,85.0,1005.54,9.614999999999998,Premium
2024-03-11,S005,P003,86.0,493.02,9.614999999999998,Premium
,S002,P005,31.0,197.49,9.614999999999998,Premium
2024-07-11,S006,P002,5.0,799.18,14.0,Regular
2024-03-11,S001,P005,56.0,279.65,16.88,Premium
,S003,P007,7.0,777.24,18.4,New
,S005,P002,73.0,1107.4,2.9,New
,S002,P003,33.0,404.05,9.39,Regular
,S005,P002,51.0,1377.13,3.53,Premium
,S005,P005,21.0,430.18,9.56,Premium
2024-02-11,S006,P003,53.0,283.58,16.54,Premium
2024-12-11,S006,P002,15.0,444.7,9.614999999999998,New
,S005,P004,40.0,698.49,16.81,New
2024-07-11,S004,P004,42.0,1167.45,19.48,Premium
,S002,P002,27.0,241.38,19.49,New
2024-04-11,S006,P006,72.0,770.75,11.1,New
,S006,P001,87.0,321.5,9.614999999999998,New
,S002,P005,96.0,1185.29,18.67,Regular
,S002,P003,8.0,442.29,1.87,New
2024-05-11,S005,P008,71.0,456.69,2.18,New
,S002,P008,44.0,1226.71,9.614999999999998,New
,S006,P002,47.0,967.95,18.08,New
,S006,P004,48.0,1170.54,13.16,Regular
,S005,P002,52.0,166.65,10.72,Regular
,S002,P005,47.0,795.66,9.614999999999998,Regular
,S005,P006,34.0,111.55,15.41,Premium
2024-03-11,S002,P002,51.0,666.01,4.93,Premium
2024-03-11,S001,P007,86.0,1284.75,10.53,Regular
,S002,P008,62.0,1084.36,15.44,Premium
2024-08-11,S002,P008,98.0,1450.42,11.83,New
2024-01-11,S005,P008,93.0,946.35,16.37,New
2024-01-11,S003,P002,92.0,1003.62,9.614999999999998,Premium
,S004,P004,27.0,331.14,18.37,New
,S002,P005,29.0,1032.06,19.22,Premium
,S006,P008,51.0,939.93,16.64,Regular
2024-01-12,S001,P007,25.0,588.96,19.7,Regular
,S006,P007,77.0,813.67,8.47,Premium
,S006,P002,14.0,644.73,8.37,Premium
,S006,P002,35.0,512.28,2.72,Premium
2024-06-11,S002,P005,11.0,1094.63,5.0,Regular
2024-07-11,S001,P003,59.0,246.14,2.4,Premium
2024-12-11,S006,P005,55.0,813.67,8.87,Premium
,S003,P002,51.0,1215.8,4.71,New
,S002,P004,45.0,813.67,11.12,Premium
,S002,P002,21.0,1468.97,15.0,Regular
,S003,P003,44.0,966.99,4.22,New
,S002,P007,16.0,550.22,19.66,Regular
,S002,P005,60.0,445.74,5.49,New
,S003,P001,77.0,813.67,13.03,Regular
2024-03-11,S002,P008,82.0,1289.1,9.614999999999998,Regular
,S005,P008,51.0,371.11,9.84,Premium
,S005,P007,1.0,335.13,11.77,New
,S006,P002,47.0,954.68,18.62,Premium
2024-08-11,S004,P001,96.0,1051.49,15.06,Regular
2024-01-11,S001,P001,16.0,941.45,12.74,New
,S003,P002,70.0,1196.37,14.64,New
,S002,P006,84.0,511.98,10.36,New
,S003,P008,29.0,943.04,18.25,Regular
,S004,P001,98.0,598.3,17.25,New
,S003,P006,44.0,923.12,10.47,Premium
,S006,P002,48.0,1163.76,17.01,Regular
,S005,P002,61.0,1003.3,9.614999999999998,Regular
2024-11-11,S005,P004,90.0,1057.96,14.21,New
,S005,P003,51.0,815.82,2.45,Regular
2024-01-12,S002,P001,85.0,245.11,0.9,Premium
2024-07-11,S003,P005,65.0,955.88,3.64,Regular
2024-05-11,S004,P008,77.0,1064.36,7.19,Regular
2024-11-11,S006,P002,97.0,478.75,13.28,New
,S002,P006,51.0,931.06,19.82,Premium
2024-01-12,S002,P002,75.0,1040.85,5.86,New
2024-05-11,S003,P002,51.0,1440.91,6.18,New
,S002,P002,51.0,160.36,19.87,New
,S006,P003,8.0,877.6,4.16,Premium
,S002,P008,51.0,146.88,13.45,Premium
,S001,P002,7.0,404.06,17.82,New
,S006,P008,31.0,1415.12,15.56,Regular
,S002,P002,5.0,1109.79,1.02,Premium
2024-08-11,S006,P002,65.0,556.9,19.55,Premium
,S006,P002,84.0,1430.23,12.11,Regular
2024-04-11,S002,P006,76.0,813.67,16.24,Premium
,S002,P005,92.0,520.61,16.37,Premium
2024-11-11,S004,P002,37.0,813.67,0.92,Regular
,S002,P002,65.0,974.72,19.07,New
2024-08-11,S006,P004,42.0,123.11,9.614999999999998,Premium
,S002,P006,53.0,1362.77,3.92,Premium
2024-07-11,S005,P006,21.0,541.7,10.67,Premium
,S002,P007,41.0,335.69,9.69,Regular
,S006,P007,91.0,337.14,9.614999999999998,Regular
,S004,P003,93.0,1264.79,13.86,New
2024-01-11,S004,P002,51.0,249.32,19.8,Premium
2024-01-12,S003,P002,51.0,813.67,7.89,New
,S003,P003,51.0,365.54,15.17,Premium
,S002,P002,33.0,1248.95,8.18,Regular
2024-06-11,S001,P008,49.0,423.82,9.614999999999998,New
,S003,P002,51.0,813.67,18.24,Regular
2024-10-11,S006,P004,3.0,892.21,2.57,Premium
,S006,P008,11.0,680.31,4.59,New
,S001,P002,0.0,1371.52,4.3,New
,S001,P002,60.0,953.56,19.57,Premium
,S003,P006,9.0,855.75,17.23,New
,S002,P001,72.0,813.67,6.78,Regular
2024-01-12,S003,P008,71.0,286.89,8.73,Regular
,S003,P006,33.0,702.19,1.26,Premium
,S001,P005,13.0,647.72,9.614999999999998,Regular
,S006,P007,65.0,1081.5,3.42,Regular
,S004,P001,71.0,110.7,12.15,New
,S006,P001,14.0,219.72,13.53,Regular
,S004,P002,81.0,823.64,1.22,New
,S003,P005,87.0,868.52,16.4,Premium
,S006,P006,19.0,1141.85,5.28,Regular
,S001,P006,51.0,334.31,17.83,New
2024-01-12,S001,P002,24.0,994.79,3.51,New
,S006,P004,85.0,603.42,6.68,Premium
2024-04-11,S003,P001,2.0,169.12,10.01,Regular
,S004,P002,85.0,1289.36,0.34,New
2024-07-11,S002,P005,63.0,642.34,12.6,Premium
2024-07-11,S005,P005,49.0,813.67,15.5,Regular
,S004,P003,13.0,911.37,11.69,New
,S006,P001,18.0,509.2,18.63,Premium
,S002,P005,8.0,1299.4,11.69,New
2024-12-11,S003,P006,90.0,298.75,1.1,New
2024-11-11,S002,P003,71.0,308.14,13.45,Premium
,S005,P002,38.0,467.52,12.48,New
,S006,P008,79.0,1375.02,6.34,New
,S001,P007,80.0,174.84,17.7,Regular
,S002,P007,89.0,422.5,19.71,Premium
,S004,P007,55.0,1223.48,9.84,Premium
,S005,P001,47.0,813.67,3.81,Premium
2024-11-11,S005,P007,51.0,978.24,0.17,New
,S003,P007,65.0,1390.5,3.17,Regular
,S006,P002,98.0,1383.85,1.64,New
,S004,P002,51.0,732.37,6.96,Regular
2024-04-11,S001,P008,29.0,511.41,9.65,Regular
,S005,P006,6.0,110.73,4.46,Regular
,S004,P004,97.0,1355.91,4.97,New
,S004,P007,1.0,622.57,5.85,New
,S002,P005,91.0,551.43,2.46,Premium
,S005,P008,54.0,1287.05,7.82,New
2024-05-11,S002,P005,34.0,659.76,15.73,New
2024-08-11,S006,P007,70.0,1265.18,9.614999999999998,Premium
,S005,P007,24.0,638.79,14.46,New
2024-01-11,S002,P005,63.0,1490.84,3.94,Regular
,S003,P004,64.0,1201.09,9.614999999999998,Regular
,S002,P001,51.0,547.52,7.44,New
2024-07-11,S002,P008,26.0,251.65,18.45,Regular
,S002,P001,30.0,874.13,11.19,Regular
,S002,P005,22.0,1323.43,13.51,New
2024-01-12,S001,P001,83.0,583.37,13.15,New
2024-11-11,S004,P005,92.0,1076.33,11.08,New
,S002,P004,70.0,1292.07,10.78,Premium
,S001,P006,91.0,1464.75,17.78,Premium
,S003,P005,12.0,701.45,9.614999999999998,New
,S005,P003,5.0,794.68,9.614999999999998,New
,S001,P008,23.0,1051.35,13.31,Premium
,S005,P007,38.0,623.65,1.72,Premium
,S005,P006,95.0,719.78,15.25,Regular
,S004,P005,21.0,782.73,16.72,Regular
,S002,P008,5.0,999.1,5.13,New
,S002,P001,25.0,464.06,9.5,New
2024-08-11,S003,P007,66.0,455.14,12.39,New
,S002,P005,92.0,1332.05,7.81,New
,S002,P006,37.0,941.86,8.17,Regular
,S001,P003,3.0,1202.61,19.21,Regular
,S003,P002,95.0,705.18,9.8,New
,S003,P008,51.0,1486.82,11.79,New
,S002,P008,91.0,1016.52,9.56,Premium
,S002,P004,25.0,774.58,2.82,New
2024-01-11,S004,P002,67.0,435.16,18.33,New
,S002,P004,51.0,813.67,0.73,Premium
,S006,P001,39.0,257.74,7.76,Premium
,S006,P001,69.0,494.02,14.42,New
,S002,P004,51.0,813.67,3.77,Regular
,S006,P004,62.0,792.65,16.54,Premium
2024-02-11,S006,P004,18.0,1353.2,18.21,New
,S004,P003,93.0,1356.9,6.02,Premium
,S001,P008,82.0,100.99,14.45,New
,S006,P005,18.0,144.09,19.23,New
,S006,P006,75.0,1419.86,1.33,New
2024-04-11,S004,P005,92.0,813.67,5.21,Premium
,S004,P008,51.0,773.96,0.35,Regular
2024-08-11,S002,P003,20.0,377.87,10.95,New
2024-11-11,S002,P004,67.0,783.63,18.8,New
2024-10-11,S006,P003,97.0,123.76,8.9,New
,S002,P002,27.0,408.19,13.26,Premium
,S002,P002,99.0,730.21,16.6,New
2024-01-12,S004,P008,47.0,168.25,17.43,Premium
2024-01-11,S005,P002,36.0,1351.81,9.65,New
,S002,P003,73.0,406.96,11.16,New
,S002,P005,3.0,1472.07,13.23,Regular
2024-08-11,S003,P002,25.0,1099.48,5.08,Regular
,S006,P004,83.0,301.53,3.51,Regular
2024-11-11,S005,P006,17.0,813.67,16.64,Premium
2024-04-11,S002,P002,4.0,691.86,15.09,New
,S001,P002,32.0,371.6,0.9,Premium
2024-12-11,S005,P007,75.0,749.6,18.01,New
,S006,P002,70.0,672.19,3.54,New
2024-10-11,S002,P002,99.0,413.23,12.34,New
2024-01-11,S002,P002,60.0,670.69,0.56,New
,S001,P007,64.0,215.13,3.29,Regular
2024-01-11,S002,P008,83.0,181.59,11.92,Premium
,S002,P005,100.0,813.67,9.614999999999998,New
2024-06-11,S002,P002,70.0,1196.35,9.614999999999998,Premium
,S002,P004,26.0,146.67,17.16,Regular
,S004,P002,94.0,499.57,9.614999999999998,Premium
2024-03-11,S004,P003,14.0,856.96,14.87,Premium
,S001,P006,25.0,659.63,16.85,New
2024-05-11,S004,P002,57.0,321.72,8.96,New
,S006,P002,12.0,863.63,19.18,Regular
,S004,P002,15.0,189.24,5.56,Premium
,S004,P002,84.0,1087.62,10.97,New
,S004,P002,51.0,1342.53,9.614999999999998,Regular
2024-02-11,S003,P003,7.0,384.63,11.65,New
,S004,P007,85.0,1228.59,9.614999999999998,New
2024-10-11,S001,P002,40.0,436.47,15.65,Regular
2024-12-11,S003,P002,56.0,264.1,19.49,Premium
,S001,P007,65.0,686.4,3.09,New
2024-08-11,S005,P002,29.0,1468.56,12.12,Premium
,S001,P002,19.0,1166.7,7.14,New
2024-01-11,S003,P006,85.0,1224.91,17.97,Regular
,S006,P006,52.0,614.75,10.72,Premium
,S002,P004,8.0,813.67,2.78,New
2024-11-11,S006,P004,40.0,236.37,8.59,Regular
2024-01-11,S005,P005,79.0,1461.48,16.81,Regular
2024-05-11,S003,P001,62.0,181.34,13.08,New
,S006,P007,23.0,578.77,9.614999999999998,New
2024-09-11,S002,P002,8.0,1050.44,4.16,New
2024-07-11,S001,P008,72.0,1037.6,9.614999999999998,Premium
2024-10-11,S001,P004,66.0,1479.12,3.67,New
2024-08-11,S002,P008,78.0,1103.3,5.74,Premium
,S006,P004,37.0,813.67,3.91,Regular
,S006,P005,99.0,1013.86,9.27,New
2024-04-11,S003,P002,60.0,501.94,4.83,New
2024-10-11,S002,P002,12.0,1451.58,5.47,Premium
,S003,P006,51.0,220.11,9.614999999999998,Regular
2024-09-11,S005,P001,60.0,925.1,17.54,Premium
2024-07-11,S005,P004,14.0,1350.57,8.87,New
2024-07-11,S001,P006,51.0,702.72,13.91,New
,S002,P002,31.0,978.73,15.67,New
2024-05-11,S005,P005,41.0,1349.22,5.14,Premium
2024-09-11,S004,P007,64.0,801.59,3.96,Regular
2024-09-11,S005,P008,51.0,570.4,10.19,New
,S004,P005,100.0,912.97,7.46,New
,S003,P002,16.0,690.93,5.51,Regular
,S003,P003,86.0,1030.44,5.07,New
,S003,P002,39.0,421.25,10.34,New
,S001,P005,9.0,1160.99,18.47,New
2024-01-11,S004,P004,6.0,358.91,14.19,Premium
2024-06-11,S005,P002,91.0,126.18,14.46,Regular
2024-07-11,S004,P008,25.0,1032.34,8.21,New
,S003,P002,11.0,813.67,9.57,New
,S002,P002,8.0,1330.9,7.4,Regular
,S002,P003,70.0,598.69,2.75,New
,S003,P005,59.0,1451.14,0.83,Premium
,S005,P001,51.0,930.44,6.22,Regular
,S002,P002,51.0,605.95,0.51,New
,S002,P007,51.0,813.67,14.84,Regular
,S002,P006,57.0,859.54,9.614999999999998,Premium
2024-01-11,S006,P003,46.0,868.71,8.57,Premium
2024-11-11,S006,P007,41.0,813.67,9.614999999999998,Premium
2024-01-11,S004,P003,31.0,794.81,16.92,New
2024-10-11,S002,P008,99.0,813.67,19.22,Regular
,S002,P008,52.0,622.82,18.25,New
,S001,P008,94.0,488.22,3.08,New
,S006,P003,70.0,529.78,17.84,Premium
,S002,P006,0.0,573.65,4.97,Premium
,S002,P005,35.0,547.5,14.03,Premium
2024-02-11,S001,P005,41.0,154.28,18.26,Regular
,S001,P004,64.0,861.08,3.54,New
2024-05-11,S003,P002,4.0,415.6,16.99,Regular
2024-07-11,S003,P003,89.0,813.67,14.7,Premium
2024-06-11,S002,P007,79.0,1316.05,18.51,Regular
,S003,P004,8.0,899.17,19.72,Premium
,S002,P003,81.0,757.06,15.57,New
2024-05-11,S002,P004,30.0,990.71,1.09,Premium
,S004,P001,8.0,289.94,3.07,Regular
,S004,P007,63.0,1440.19,9.614999999999998,Regular
,S006,P002,13.0,106.06,9.07,Premium
,S002,P008,4.0,813.67,13.4,Premium
2024-05-11,S001,P005,83.0,1126.82,12.14,Premium
2024-01-11,S003,P006,64.0,249.38,7.28,Regular
2024-11-11,S006,P004,57.0,930.72,9.614999999999998,Regular
2024-05-11,S001,P002,73.0,1024.32,13.0,New
2024-12-11,S006,P007,65.0,347.17,0.41,New
2024-12-11,S003,P002,27.0,420.16,2.44,Premium
2024-01-11,S006,P008,14.0,261.55,12.72,New
2024-07-11,S006,P002,36.0,685.17,3.14,New
,S005,P006,51.0,681.24,9.614999999999998,Premium
2024-08-11,S003,P004,26.0,813.67,4.42,New
2024-05-11,S005,P005,51.0,1369.52,15.96,Regular
,S006,P008,21.0,1171.13,16.5,New
2024-10-11,S006,P002,73.0,1414.54,1.9,Regular
2024-01-12,S005,P004,54.0,1183.86,12.98,Premium
2024-10-11,S003,P001,24.0,1307.03,18.62,New
2024-06-11,S006,P004,42.0,168.48,9.614999999999998,New
2024-01-11,S002,P007,6.0,1439.48,18.17,Premium
,S002,P004,22.0,813.67,1.31,New
,S005,P004,43.0,1166.79,9.614999999999998,Premium
,S001,P003,51.0,736.49,10.78,New
,S001,P002,76.0,813.67,4.94,New
2024-09-11,S002,P006,92.0,663.52,7.95,Regular
,S005,P003,73.0,140.24,13.91,Regular
,S006,P007,25.0,1120.47,17.35,Regular
,S005,P007,100.0,1298.84,18.05,New
,S005,P007,87.0,813.67,3.59,Premium
,S001,P002,37.0,466.97,7.56,Premium
2024-09-11,S006,P002,57.0,1432.67,2.76,Premium
,S002,P003,11.0,499.27,15.81,Regular
,S002,P006,51.0,515.61,2.45,New
,S004,P003,74.0,553.09,14.05,New
,S002,P002,26.0,1030.91,16.48,Premium
2024-02-11,S004,P002,24.0,184.68,3.75,Premium
,S003,P007,79.0,1425.32,0.49,Premium
,S004,P002,55.0,813.67,18.19,Regular
,S001,P004,45.0,381.24,13.8,New
,S006,P007,1.0,813.67,1.54,New
,S005,P003,51.0,1453.44,18.69,Regular
,S004,P003,11.0,1199.4,9.614999999999998,Premium
2024-02-11,S001,P006,35.0,462.19,9.34,Premium
,S001,P002,27.0,813.67,9.614999999999998,New
2024-03-11,S001,P008,19.0,857.57,1.04,New
,S005,P008,6.0,1392.32,15.17,Regular
2024-01-11,S005,P005,51.0,271.16,14.42,Premium
,S006,P006,38.0,102.93,0.36,New
,S005,P004,22.0,187.46,10.62,Regular
,S002,P004,95.0,813.67,9.79,New
,S003,P006,84.0,339.9,14.96,Premium
2024-01-12,S001,P003,45.0,904.94,19.93,Premium
,S005,P007,11.0,309.24,10.15,New
,S002,P001,7.0,527.37,13.43,New
2024-12-11,S002,P001,84.0,946.74,0.95,New
,S005,P002,85.0,982.16,12.24,New
,S006,P007,34.0,1207.93,6.46,Regular
2024-07-11,S004,P006,84.0,489.84,1.57,Regular
2024-03-11,S004,P007,6.0,853.86,13.89,Premium
,S006,P001,58.0,608.42,3.11,New
,S006,P006,56.0,1366.23,19.07,Premium
,S006,P006,57.0,922.85,9.28,Regular
,S003,P005,11.0,514.91,7.84,Regular
,S002,P008,79.0,1294.72,5.08,Premium
,S005,P002,23.0,215.89,0.35,New
2024-11-11,S005,P005,25.0,262.87,11.53,New
2024-07-11,S006,P006,51.0,451.86,2.75,New
,S001,P004,81.0,138.54,1.71,New
2024-03-11,S002,P001,51.0,440.23,5.23,Premium
,S006,P008,48.0,813.67,4.86,New
,S002,P004,2.0,1309.94,2.2,New
,S005,P004,85.0,813.67,7.17,Regular
2024-01-12,S005,P008,23.0,1105.01,9.614999999999998,New
2024-11-11,S004,P004,41.0,813.67,17.81,Premium
,S001,P002,24.0,1254.81,5.1,Premium
2024-12-11,S004,P006,97.0,1112.08,13.67,Premium
